,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2007-04-10,12.779672622680664,,17.581302642822266,20.07789421081543,24.779722213745117,9.268672943115234,16.343860626220703,,10.589776992797852,24.947845458984375,15.254683494567871
2007-04-11,12.72341537475586,,17.474323272705078,19.9101619720459,24.682762145996094,9.183141708374023,16.23550033569336,,10.563957214355469,24.83993911743164,15.137043952941895
2007-04-12,12.835929870605469,,17.74176597595215,19.876619338989258,24.98056983947754,9.280335426330566,16.25356674194336,,10.517478942871094,25.120498657226562,15.24292278289795
2007-04-13,12.865700721740723,,17.750213623046875,19.96048355102539,24.973630905151367,9.288110733032227,16.3077392578125,,10.514893531799316,25.487363815307617,15.254683494567871
2007-04-16,13.0377779006958,,17.854387283325195,20.44691276550293,25.17447853088379,9.365873336791992,16.343860626220703,,10.576865196228027,25.731964111328125,15.40762710571289
2007-04-17,12.915340423583984,,17.753026962280273,20.44133186340332,25.17447853088379,9.385307312011719,16.494359970092773,,10.625930786132812,25.811092376708984,15.470375061035156
2007-04-18,12.845855712890625,,17.691097259521484,20.676158905029297,25.243738174438477,9.361984252929688,16.45221710205078,,10.703398704528809,25.803905487060547,15.458610534667969
2007-04-19,12.799528121948242,,17.443361282348633,20.648191452026367,25.326845169067383,9.365873336791992,16.46424674987793,,10.651755332946777,25.91180992126465,15.337037086486816
2007-04-20,12.93188762664795,,17.764297485351562,20.754436492919922,25.49997901916504,9.42029857635498,16.614757537841797,,10.73438549041748,26.012510299682617,15.517426490783691
2007-04-23,12.928577423095703,,17.78400421142578,20.698516845703125,25.596939086914062,9.400859832763672,16.57863998413086,,10.81443977355957,26.041296005249023,15.486061096191406
2007-04-24,12.875630378723145,,17.730510711669922,20.63701820373535,25.52075958251953,9.451403617858887,16.572622299194336,,10.891902923583984,26.041296005249023,15.431158065795898
2007-04-25,13.080796241760254,,18.062711715698242,20.916574478149414,25.7839298248291,9.521384239196777,16.65689468383789,,10.92288589477539,26.120426177978516,15.588024139404297
2007-04-26,13.027849197387695,,18.057085037231445,20.883026123046875,25.770069122314453,9.575812339782715,16.590675354003906,,10.886737823486328,26.149192810058594,15.564489364624023
2007-04-27,13.017912864685059,,18.054269790649414,20.855079650878906,26.06788444519043,9.568041801452637,16.55455207824707,,10.796360969543457,26.062875747680664,15.46252727508545
2007-04-30,12.779672622680664,,17.840301513671875,20.692930221557617,25.763153076171875,9.49417495727539,16.494359970092773,,10.755043029785156,25.97655487060547,15.266451835632324
2007-05-01,12.726725578308105,,17.919139862060547,20.73206901550293,25.922435760498047,9.540824890136719,16.428144454956055,,10.8428373336792,26.03409767150879,15.309589385986328
2007-05-02,12.878938674926758,,18.068344116210938,20.821523666381836,26.088651657104492,9.591367721557617,16.434160232543945,,10.902230262756348,26.19955825805664,15.486061096191406
2007-05-03,12.921958923339844,,18.21472930908203,21.017210006713867,26.27565574645996,9.684676170349121,16.494359970092773,,10.889315605163574,26.25710678100586,15.454687118530273
2007-05-04,13.0377779006958,,18.20066261291504,21.089902877807617,26.303340911865234,9.723553657531738,16.494359970092773,,10.868660926818848,26.400978088378906,15.489973068237305
2007-05-07,13.209848403930664,,18.248516082763672,21.11785888671875,26.37261199951172,9.711893081665039,16.524456024169922,,10.997773170471191,26.458528518676758,15.489973068237305
2007-05-08,13.21977710723877,,18.251331329345703,21.073131561279297,26.35875129699707,9.75076961517334,16.410072326660156,,10.948713302612305,26.357812881469727,15.423320770263672
2007-05-09,13.276029586791992,,18.24288558959961,21.184951782226562,26.428009033203125,9.739104270935059,16.434160232543945,,10.956459045410156,26.444149017333984,15.517426490783691
2007-05-10,13.021232604980469,,17.947284698486328,20.883026123046875,26.247936248779297,9.68856143951416,16.331819534301758,,10.845420837402344,25.97655487060547,15.348809242248535
2007-05-11,13.173449516296387,,18.358312606811523,21.10667610168457,26.44877815246582,9.793537139892578,16.37395668029785,,10.897064208984375,26.07726287841797,15.411559104919434
2007-05-14,13.156898498535156,,18.36394500732422,21.006032943725586,26.331052780151367,9.746879577636719,16.313762664794922,,10.940961837768555,26.048500061035156,15.411559104919434
2007-05-15,13.239631652832031,,18.425886154174805,20.955711364746094,26.400314331054688,9.731331825256348,16.422115325927734,,11.000357627868652,26.01972007751465,15.35665225982666
2007-05-16,13.285957336425781,,18.496261596679688,21.196134567260742,26.53189468383789,9.816864013671875,16.590675354003906,,11.026177406311035,26.31464958190918,15.411559104919434
2007-05-17,13.279336929321289,,18.791858673095703,21.089902877807617,26.58037757873535,9.78964614868164,16.54853057861328,,11.000357627868652,26.213945388793945,15.435073852539062
2007-05-18,13.328973770141602,,19.095911026000977,21.14581298828125,26.490337371826172,9.840189933776855,16.66893768310547,,11.059747695922852,26.321849822998047,15.576250076293945
2007-05-21,13.348827362060547,,19.256378173828125,21.16817855834961,26.6427001953125,9.882959365844727,16.54252052307129,,11.044252395629883,26.37939453125,15.635075569152832
2007-05-22,13.269416809082031,,19.076213836669922,21.184951782226562,26.587289810180664,9.871294021606445,16.572622299194336,,11.023598670959473,26.365015029907227,15.619396209716797
2007-05-23,13.328973770141602,,19.11561393737793,21.16817855834961,26.718889236450195,9.83630084991455,16.524456024169922,,10.850586891174316,26.458528518676758,15.627232551574707
2007-05-24,13.186691284179688,,18.766525268554688,20.978073120117188,26.504188537597656,9.711893081665039,16.45221710205078,,10.607855796813965,26.357812881469727,15.50174617767334
2007-05-25,13.342214584350586,,19.059316635131836,21.017210006713867,26.663471221923828,9.793537139892578,16.55455207824707,,10.613018035888672,26.343427658081055,15.556648254394531
2007-05-29,13.299195289611816,,18.93262481689453,21.10667610168457,26.83661460876465,9.851850509643555,16.614757537841797,,10.64400863647461,26.357812881469727,15.544878005981445
2007-05-30,13.4679536819458,,19.32957649230957,21.25204086303711,26.954357147216797,9.9257230758667,16.693016052246094,,10.775697708129883,26.365015029907227,15.686056137084961
2007-05-31,13.534139633178711,,19.228235244750977,21.190540313720703,27.099788665771484,9.97237491607666,16.717082977294922,,10.804105758666992,26.422563552856445,15.725264549255371
2007-06-01,13.722755432128906,,19.402774810791016,21.25764274597168,27.203655242919922,9.97237491607666,16.795345306396484,,10.74471664428711,26.451339721679688,15.81546401977539
2007-06-04,13.640033721923828,,19.706819534301758,21.229679107666016,27.210590362548828,10.007368087768555,16.855539321899414,,10.703398704528809,26.400978088378906,15.846837997436523
2007-06-05,13.593708038330078,,19.63644027709961,21.1010799407959,27.127492904663086,9.97237491607666,16.753204345703125,,10.56137752532959,26.33622932434082,15.752724647521973
2007-06-06,13.418315887451172,,19.385879516601562,20.92216682434082,26.83661460876465,9.85573959350586,16.644847869873047,,10.393531799316406,26.091655731201172,15.552718162536621
2007-06-07,13.117197036743164,,19.042415618896484,20.569927215576172,26.400314331054688,9.715781211853027,16.434160232543945,,10.070749282836914,25.703187942504883,15.262537956237793
2007-06-08,13.36868667602539,,19.121246337890625,20.810340881347656,26.767362594604492,9.851850509643555,16.53047752380371,,10.14305305480957,25.789508819580078,15.458610534667969
2007-06-11,13.252864837646484,,19.26763916015625,20.9053955078125,26.801998138427734,9.871294021606445,16.62076759338379,,10.27733039855957,25.796710968017578,15.40762710571289
2007-06-12,13.090728759765625,,19.03115463256836,20.620235443115234,26.45571517944336,9.754661560058594,16.46424674987793,,10.109477996826172,25.60967254638672,15.282144546508789
